
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> 0							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
<Category> Vegetables							// Category Name
CaninaBerry,			    *,		10,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
SambucusBerry,	  		*,		10,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
Plum,					        *,		10,		-1	// Buyvalue -1 means it can not be bought
Kiwi,				        	*,		10,		-1	// Sellvalue -1 means it can not be selled
Apple,				      	*,		10,		-1
Pear,				        	*,		10,		-1
Orange,				      	*,		10,		-1
Banana,				      	*,		10,		-1
Tomato,				      	*,		10,		-1
Potato,				      	*,		10,		-1
GreenBellPepper,	  	*,		10,		-1
Zucchini,			      	*,		30,		10
Pumpkin,			      	*,		80,		30
AgaricusMushroom,	  	*,		20,		10
AmanitaMushroom,	  	*,		20,		10
LactariusMushroom,		*,		20,		10
MacrolepiotaMushroom,	*,		20,		10
PsilocybeMushroom,		*,		20,		10
AuriculariaMushroom,	*,		20,		10
BoletusMushroom,	  	*,		20,		10
PleurotusMushroom,		*,		20,		10

<Category> SQUAD MSF-C Items and food
MSFCBeerZhigulevskoe,	              *,		150,		50
MSFCBankaJackSmithWhiskey,        	*,		150,		50
MSFCBankaBeerAmsterdam,	            *,		150,		50
MSFCBankaBeerPivasProvodnik,      	*,		150,		50
MSFCBankaBaikal,                   	*,		150,		50
MSFCBankaBeerHeineken,             	*,		150,		50
MSFCBankaBeerFranziskanerWeissbier,	*,		150,		50
MSFCBankaSTALKEREnergy,           	*,		150,		50
MSFCBankaCJ,	                      *,		150,		50
MSFCBankaSPRUNK,	                  *,		250,		75
MSFCBankaSPRUNKextreme,	            *,		515,		250
MSFC_Case,	                        *,		315,		75
MSFC_Weapon_Tool_Box,	              *,		850,		550
MSFC_FirstAidKit,	                  *,		550,		150
MSFC_Case_Multicam,	                *,		1500,		500
MSFC_Case_Multicam_Tropic,         	*,		1500,		500
MSFC_Case_Multicam_Black,          	*,		1500,		500
MSFC_Case_Multicam_Snow,	          *,		1500,		500
MSFC_Case_ATACSFG,	                *,		1500,		500
MSFC_Case_ATACSAU,	                *,		1500,		500
MSFC_Case_SURPAT,	                  *,		1500,		500
MSFC_Case_SURPAT_Desert,						*,		1500,		500
MSFCBeerZhigulevskoeBarnoe,					*,		150,		50
MSFCBeerZhigulevskoeSoviet,					*,		150,		50
MSFCBeerBaltika9,										*,		150,		50
MSFCTushonkaCowCan,									*,		250,		50
MSFCCornTsarReceptCan,							*,		15,		5
MSFCCucumbersLoradoCan,							*,		15,		5
MSFCMilkSgushenkaCan,								*,		15,		5
MSFCPeasDyadyaVanyaCan,							*,		15,		5
MSFCCanteenATACSAU,									*,		50,		25
MSFCCanteenATACSFG,									*,		50,		25
MSFCCanteenSURPATDesert,						*,		50,		25
MSFCCanteenSURPAT,									*,		50,		25
MSFCCanteenMulticamSnow,						*,		50,		25
MSFCCanteenMulticamBlack,						*,		50,		25
MSFCCanteenMulticamTropic,					*,		50,		25
MSFCCanteenMulticam,								*,		50,		25
MSFCCanteenDesert,									*,		50,		25
MSFCCanteenGreen,										*,		50,		25
MSFCCanteenBlack,										*,		50,		25

<Category> Packaged Food
PowderedMilk,												*,		10,		-1
BoxCerealCrunchin,									*,		62,		10
Rice,																*,		130,		50
Marmalade,													*,		80,		25
PeachesCan,													*,		80,		25
SardinesCan,												*,		55,		22
TunaCan,														*,		85,		20
