
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,																			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																		*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,																							*,		100,	-1	// Buyvalue -1 means it can not be bought
		Kiwi,																							*,		100,	-1	// Sellvalue -1 means it can not be selled
		Apple,																						*,		100,	-1
		Pear,																							*,		100,	-1
		Orange,																						*,		100,	-1
		Banana,																						*,		100,	-1
		Tomato,																						*,		100,	50
		Potato,																						*,		100,	50
		GreenBellPepper,																	*,		100,	50
		Zucchini,																					*,		700,	150
		Pumpkin,																					*,		900,	400
		AgaricusMushroom,																	*,		-1,		800
		AmanitaMushroom,																	*,		-1,		800
		LactariusMushroom,																*,		-1,		800
		MacrolepiotaMushroom,															*,		-1,		800
		PsilocybeMushroom,																*,		-1,		800
		AuriculariaMushroom,															*,		-1,		800
		BoletusMushroom,																	*,		-1,		800
		PleurotusMushroom,																*,		-1,		800


	<Category> Packaged Food
		BrisketSpread,																		*,		2200,		500
		Pate,																							*,		2200,		900
		Pajka,																						*,		2200,		900
		PorkCan,																					*,		2200,		900
		CatFoodCan,																				*,		-1,			2500
		DogFoodCan,																				*,		-1,			2500
		Chips,																						*,		2200,		400
		Crackers,																					*,		2200,		900
		SaltySticks,																			*,		2200,		500
		ZagorkyPeanuts,																		*,		2500,		1100
		ZagorkyChocolate, 																*,		2500,		1100
		Zagorky,																					*,		2500,		1100
		Lunchmeat,																				*,		2500,		500
		PowderedMilk,																			*,		1000,		500
		sandwich_mung,                       					 		*,    2100,   250
		wonderbread_mung,                    					 		*,    2200,   250
		BoxCerealCrunchin,																*,		2200,		300
		Rice,																							*,		5200,		1500
		Marmalade,																				*,		3000,		1500
		PeachesCan,																				*,		3500,		1700
		SardinesCan,																			*,		3500,		1700
		TunaCan,																					*,		3700,		1870
		SpaghettiCan,																			*,		3700,		1870
		BakedBeansCan,																		*,		3000,		1400
		TacticalBaconCan,																	*,		5500,		2500
		UnknownFoodCan, 																	*,		-1,			4000
		pickles_closed,                     					 		*,    8000,   4500
		Honey,																						*,		-1,			8000

	<Category> Meat
		ChickenBreastMeat,																S,		1300,	500
		GoatSteakMeat,																		S,		-1,		1000
		SheepSteakMeat,																		S,		-1,		1000
		PigSteakMeat,																			S,		-1,		2000
		BoarSteakMeat,																		S,		-1,		2000
		WolfSteakMeat,																		S,		-1,		2000
		DeerSteakMeat,																		S,		-1,		2000
		CowSteakMeat,																			S,		-1,		2000
		FoxSteakMeat, 																		S,		-1,		8000
		RabbitLegMeat,																		S,		-1,		1000
		HumanSteakMeat, 																	S,		-1,		200
		CarpFilletMeat, 																	S,		-1,		400
		MackerelFilletMeat, 															S,		-1,		400
		BearSteakMeat, 																		S,		-1,		5000
		Sardines,																					S,		-1,		500
		Carp,																							S,		-1,		500
		Mackerel,																					S,		-1,		500

	<Category> Animal Parts
		Bone,																							*,		500,		250
		Lard,																							*,		500,		250
		Guts,																							*,		500,		250
